product_name,price,rating,reviews,availability,sales_past_month
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",$197.01,4.8 out of 5 stars,"66,919 ratings",In Stock, 10K+ bought in past month 
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",$316.79,4.8 out of 5 stars,"16,616 ratings",In Stock, 10K+ bought in past month 
"Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Renewed)",$149.00,4.4 out of 5 stars,"9,362 ratings",In Stock, 4K+ bought in past month 
"Apple iPad Mini (6th Generation): with A15 Bionic chip, 8.3-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",$349.59,4.8 out of 5 stars,"10,446 ratings",In Stock, 5K+ bought in past month 
Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),$119.99,4.5 out of 5 stars,"9,228 ratings",Not Available, 4K+ bought in past month 
"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Silver (Renewed)",$309.99,4.6 out of 5 stars,472 ratings,Not Available, 50+ bought in past month 
"Apple iPad Air 13-inch (M2): Built for Apple Intelligence, Liquid Retina Display, 256GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",$872.29,4.6 out of 5 stars,202 ratings,Not Available, 500+ bought in past month 
"Apple iPad 9.7in with WiFi, 32GB 2017 Newest Model- Gold (Gold)(Renewed)",$126.00,4.5 out of 5 stars,"1,494 ratings",In Stock, 400+ bought in past month 
"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 128GB, Wi-Fi 6E + 5G Cellular, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","$1,189.97",4.7 out of 5 stars,"2,114 ratings",Not Available,
"2020 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Silver (Renewed)",$229.00,4.6 out of 5 stars,228 ratings,In Stock, 100+ bought in past month 
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",$539.99,4.8 out of 5 stars,"13,781 ratings",In stock,
"Apple iPad Air 11-inch (M2): Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Purple",$730.92,4.8 out of 5 stars,459 ratings,In Stock, 50+ bought in past month 
"Apple iPad Pro 13-Inch (M4): Built for Apple Intelligence, Ultra Retina XDR Display - Nano-Texture Glass, 2TB, 12MP Front/Back Camera, LiDAR Scanner, Wi-Fi 6E + 5G Cellular, Face ID — Silver","$2,449.91",4.6 out of 5 stars,253 ratings,In stock,
"2021 Apple iPad (10.2-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",$313.50,4.5 out of 5 stars,"2,202 ratings",Not Available, 200+ bought in past month 
"Stylus Pen for iPad, 13 mins Fast Charge Apple iPad Pencil with Palm Rejection, Tilt Sensitivity, Work for 2018-2024 iPad Air 3/4/5/M2, iPad Mini 5/6, iPad 6/7/8/9/10, iPad Pro 11""/12.9""/M4",$19.99,4.6 out of 5 stars,"4,825 ratings",In Stock, 10K+ bought in past month 
"Apple iPad Air 2 MH322LL/A (128GB, Wi-Fi + Cellular, Silver) 2014 Model (Renewed)",$134.99,4.1 out of 5 stars,142 ratings,Not Available, 100+ bought in past month 
